cod_mun,municipio,ano,populacao,internacoes_hidricas,internacoes_hidricas_10k,internacoes_total_10k,idx_atend_agua_total,idx_tratamento_esgoto,idx_coleta_esgoto,pct_conformes_global,idx_perdas_distribuicao,despesa_saude_pc,pct_despesa_investimentos_saude,chuva_total_mm,temp_media_c,deficit_atendimento,deficit_tratamento,alerta_qualidade,perdas_excesso,score_priorizacao,prioridade_categoria,gerado_em
1506500,SANTA IZABEL DO PARÁ,2020,71837.0,62,8.630649943622368,424.4330915823322,86.79,0.09,1.1,75.82264957264958,34.62,478.73,2.96,3221.6,26.588953353446275,13.209999999999994,99.91,24.17735042735042,34.62,0.46908145540933577,Atenção,2025-11-19T17:25:43.616823+00:00
1502400,CASTANHAL,2020,203251.0,110,5.412027493099664,651.2637084196388,80.72,0.09,1.1,75.82264957264958,34.02,886.22,2.46,3221.6,26.588953353446275,19.28,99.91,24.17735042735042,34.02,0.4565409577677002,Atenção,2025-11-19T17:25:43.616823+00:00
1501303,BARCARENA,2020,127027.0,63,4.959575523313942,567.5958654459288,80.72,0.09,1.1,85.86032689450222,34.02,958.19,8.96,619.0,25.98241666666667,19.28,99.91,14.139673105497778,34.02,0.4221538840277531,Atenção,2025-11-19T17:25:43.616823+00:00
1501501,BENEVIDES,2020,63768.0,19,2.979550871910676,374.3256805921465,80.02,0.09,1.1,95.29411764705881,48.92,628.7,7.24,4080.6,26.958148104124568,19.980000000000004,99.91,4.705882352941188,48.92,0.40548808221377536,Atenção,2025-11-19T17:25:43.616823+00:00
1506351,SANTA BÁRBARA DO PARÁ,2020,21449.0,3,1.3986666045037066,352.9302065364353,63.41,0.0,1.16,85.71428571428571,3.95,540.52,1.96,3221.6,26.588953353446275,36.59,100.0,14.285714285714292,3.95,0.3928731114738532,Atenção,2025-11-19T17:25:43.616823+00:00
1501402,BELÉM,2019,1492745.0,2702,18.10088126237234,457.09079581576225,80.72,0.09,1.1,43.90243902439025,34.02,688.04,2.5,4268.0,26.809902801600916,19.28,99.91,56.09756097560975,34.02,0.6924415579314409,Crítico,2025-11-19T17:25:43.616823+00:00
1500800,ANANINDEUA,2019,530598.0,1869,35.224407178315786,598.2306755773674,80.72,37.44,1.1,75.0,34.02,479.9,1.01,4268.0,26.809902801600916,19.28,62.56,25.0,34.02,0.5952519216154487,Atenção,2025-11-19T17:25:43.616823+00:00
1504422,MARITUBA,2019,131521.0,217,16.499266276868333,501.59290151382663,80.72,0.09,1.1,72.87671232876713,34.02,493.4,3.44,4268.0,26.809902801600916,19.28,99.91,27.123287671232873,34.02,0.5898565025961247,Atenção,2025-11-19T17:25:43.616823+00:00
1506500,SANTA IZABEL DO PARÁ,2019,70801.0,81,11.440516376887333,412.4235533396421,86.16,0.09,1.1,75.82264957264958,34.02,413.38,4.34,2518.4,26.47220063581773,13.840000000000003,99.91,24.17735042735042,34.02,0.5020524654723427,Atenção,2025-11-19T17:25:43.616823+00:00
1502400,CASTANHAL,2019,200793.0,189,9.412678728840149,598.0786182785256,80.72,0.09,1.1,75.82264957264958,34.02,642.66,2.18,2518.4,26.47220063581773,19.28,99.91,24.17735042735042,34.02,0.5015430965837511,Atenção,2025-11-19T17:25:43.616823+00:00
1501303,BARCARENA,2019,124680.0,90,7.218479307025986,569.6984279756176,80.72,0.09,1.1,80.45670383609881,34.02,745.96,2.11,1538.0,27.333797308178998,19.28,99.91,19.54329616390119,34.02,0.4633355038792757,Atenção,2025-11-19T17:25:43.616823+00:00
1501501,BENEVIDES,2019,62737.0,35,5.578845019685353,410.92178459282405,80.72,0.09,1.1,88.2720588235294,48.335,422.34,6.65,4268.0,26.809902801600916,19.28,99.91,11.727941176470594,48.335,0.4511643008585679,Atenção,2025-11-19T17:25:43.616823+00:00
1506351,SANTA BÁRBARA DO PARÁ,2019,21079.0,6,2.846434840362446,389.9615731296551,64.52,0.0,1.16,85.71428571428571,3.95,479.2,5.35,2518.4,26.47220063581773,35.480000000000004,100.0,14.285714285714292,3.95,0.40460820321432756,Atenção,2025-11-19T17:25:43.616823+00:00
1501402,BELÉM,2018,1485732.0,3017,20.306488653404514,478.16833722367153,80.72,0.09,1.1,75.0,34.02,592.52,2.27,4172.8,26.59437686481524,19.28,99.91,25.0,34.02,0.6264854494433694,Atenção,2025-11-19T17:25:43.616823+00:00
1504422,MARITUBA,2018,129321.0,250,19.331740397924545,542.0620007578042,80.72,0.09,1.1,72.87671232876713,34.02,245.61,2.35,4172.8,26.59437686481524,19.28,99.91,27.123287671232873,34.02,0.6217181636301813,Atenção,2025-11-19T17:25:43.616823+00:00
1500800,ANANINDEUA,2018,525566.0,1907,36.28469117104227,639.786439762085,80.72,37.44,1.1,75.0,34.02,442.94,0.81,4172.8,26.59437686481524,19.28,62.56,25.0,34.02,0.6071787416788532,Atenção,2025-11-19T17:25:43.616823+00:00
1506500,SANTA IZABEL DO PARÁ,2018,69746.0,65,9.319530869153787,432.9997419206836,68.1,0.09,1.1,75.82264957264958,35.06,412.62,0.88,2435.4,26.29698718688676,31.900000000000006,99.91,24.17735042735042,35.06,0.5543437129996321,Atenção,2025-11-19T17:25:43.616823+00:00
1502400,CASTANHAL,2018,198294.0,200,10.086033868901731,583.6787799933433,80.72,0.09,1.1,75.82264957264958,34.02,637.37,3.7,2435.4,26.29698718688676,19.28,99.91,24.17735042735042,34.02,0.5091174687796678,Atenção,2025-11-19T17:25:43.616823+00:00
1501303,BARCARENA,2018,122294.0,111,9.076487808069079,598.9664251721262,80.72,0.09,1.1,75.8277630965335,34.02,698.85,5.8,1453.4,27.27837899543379,19.28,99.91,24.172236903466498,34.02,0.4977464595075638,Atenção,2025-11-19T17:25:43.616823+00:00
1506351,SANTA BÁRBARA DO PARÁ,2018,20704.0,9,4.346986089644513,400.88871715610514,65.69,0.0,1.03,85.71428571428571,0.34,424.57,4.52,2435.4,26.29698718688676,34.31,100.0,14.285714285714292,0.34,0.40935664966520763,Atenção,2025-11-19T17:25:43.616823+00:00
1501501,BENEVIDES,2018,61689.0,51,8.267276175655304,467.02005219731234,100.0,0.09,1.1,88.2720588235294,49.56,444.87,3.46,4172.8,26.59437686481524,0.0,99.91,11.727941176470594,49.56,0.404856502472977,Atenção,2025-11-19T17:25:43.616823+00:00
